Bot,Simulation,q,Time Step,Result
Bot1,3,0.10,23,Success
Bot2,3,0.10,23,Success
Bot3,3,0.10,23,Success
Bot4,3,0.10,23,Success
Bot1,4,0.10,28,Success
Bot2,4,0.10,28,Success
Bot3,4,0.10,28,Success
Bot4,4,0.10,28,Success
Bot1,5,0.10,1,Success
Bot2,5,0.10,1,Success
Bot3,5,0.10,1,Success
Bot4,5,0.10,1,Success
Bot1,6,0.10,14,Success
Bot2,6,0.10,14,Success
Bot3,6,0.10,14,Success
Bot4,6,0.10,14,Success
Bot1,7,0.10,41,Success
Bot2,7,0.10,43,Success
Bot3,7,0.10,41,Success
Bot4,7,0.10,41,Success
Bot1,8,0.10,36,Success
Bot2,8,0.10,36,Success
Bot3,8,0.10,36,Success
Bot4,8,0.10,36,Success
Bot1,9,0.10,16,Success
Bot2,9,0.10,16,Success
Bot3,9,0.10,16,Success
Bot4,9,0.10,16,Success
Bot1,10,0.10,8,Success
Bot2,10,0.10,8,Success
Bot3,10,0.10,8,Success
Bot4,10,0.10,8,Success
Bot1,11,0.10,24,Success
Bot2,11,0.10,28,Success
Bot3,11,0.10,24,Success
Bot4,11,0.10,24,Success
Bot1,12,0.10,12,Success
Bot2,12,0.10,12,Success
Bot3,12,0.10,12,Success
Bot4,12,0.10,12,Success
Bot1,13,0.10,24,Success
Bot2,13,0.10,24,Success
Bot3,13,0.10,24,Success
Bot4,13,0.10,24,Success
Bot1,14,0.10,25,Success
Bot2,14,0.10,27,Success
Bot3,14,0.10,25,Success
Bot4,14,0.10,25,Success
Bot1,15,0.10,6,Success
Bot2,15,0.10,6,Success
Bot3,15,0.10,6,Success
Bot4,15,0.10,6,Success
Bot1,16,0.10,37,Success
Bot2,16,0.10,37,Success
Bot3,16,0.10,37,Success
Bot4,16,0.10,37,Success
Bot1,17,0.10,3,Success
Bot2,17,0.10,3,Success
Bot3,17,0.10,3,Success
Bot4,17,0.10,3,Success
Bot1,18,0.10,28,Success
Bot2,18,0.10,28,Success
Bot3,18,0.10,28,Success
Bot4,18,0.10,28,Success
Bot1,19,0.10,50,Success
Bot2,19,0.10,52,Success
Bot3,19,0.10,50,Success
Bot4,19,0.10,50,Success
Bot1,20,0.10,37,Success
Bot2,20,0.10,39,Success
Bot3,20,0.10,37,Success
Bot4,20,0.10,37,Success
Bot1,21,0.10,10,Success
Bot2,21,0.10,10,Success
Bot3,21,0.10,10,Success
Bot4,21,0.10,10,Success
Bot1,22,0.10,50,Success
Bot2,22,0.10,50,Success
Bot3,22,0.10,50,Success
Bot4,22,0.10,50,Success
Bot1,23,0.10,27,Success
Bot2,23,0.10,27,Success
Bot3,23,0.10,27,Success
Bot4,23,0.10,27,Success
Bot1,24,0.10,48,Success
Bot2,24,0.10,48,Success
Bot3,24,0.10,48,Success
Bot4,24,0.10,48,Success
Bot1,25,0.10,22,Success
Bot2,25,0.10,26,Success
Bot3,25,0.10,22,Success
Bot4,25,0.10,22,Success
Bot1,26,0.10,33,Success
Bot2,26,0.10,33,Success
Bot3,26,0.10,33,Success
Bot4,26,0.10,33,Success
Bot1,27,0.10,43,Success
Bot2,27,0.10,43,Success
Bot3,27,0.10,43,Success
Bot4,27,0.10,43,Success
Bot1,28,0.10,42,Success
Bot2,28,0.10,42,Success
Bot3,28,0.10,42,Success
Bot4,28,0.10,42,Success
Bot1,29,0.10,27,Success
Bot2,29,0.10,27,Success
Bot3,29,0.10,27,Success
Bot4,29,0.10,27,Success
Bot1,30,0.10,23,Success
Bot2,30,0.10,23,Success
Bot3,30,0.10,23,Success
Bot4,30,0.10,23,Success
Bot1,31,0.10,39,Success
Bot2,31,0.10,39,Success
Bot3,31,0.10,39,Success
Bot4,31,0.10,39,Success
Bot1,32,0.10,30,Success
Bot2,32,0.10,30,Success
Bot3,32,0.10,30,Success
Bot4,32,0.10,30,Success
Bot1,33,0.10,49,Success
Bot2,33,0.10,49,Success
Bot3,33,0.10,49,Success
Bot4,33,0.10,49,Success
Bot1,34,0.10,39,Success
Bot2,34,0.10,39,Success
Bot3,34,0.10,39,Success
Bot4,34,0.10,39,Success
Bot1,35,0.10,16,Success
Bot2,35,0.10,16,Success
Bot3,35,0.10,16,Success
Bot4,35,0.10,16,Success
Bot1,36,0.10,57,Success
Bot2,36,0.10,57,Success
Bot3,36,0.10,57,Success
Bot4,36,0.10,57,Success
Bot1,37,0.10,28,Success
Bot2,37,0.10,30,Success
Bot3,37,0.10,28,Success
Bot4,37,0.10,28,Success
Bot1,38,0.10,30,Success
Bot2,38,0.10,30,Success
Bot3,38,0.10,30,Success
Bot4,38,0.10,30,Success
Bot1,39,0.10,30,Success
Bot2,39,0.10,30,Success
Bot3,39,0.10,30,Success
Bot4,39,0.10,30,Success
Bot1,40,0.10,37,Success
Bot2,40,0.10,37,Success
Bot3,40,0.10,37,Success
Bot4,40,0.10,37,Success
Bot1,41,0.10,25,Success
Bot2,41,0.10,27,Success
Bot3,41,0.10,25,Success
Bot4,41,0.10,25,Success
Bot1,42,0.10,9,Success
Bot2,42,0.10,9,Success
Bot3,42,0.10,9,Success
Bot4,42,0.10,9,Success
Bot1,43,0.10,47,Success
Bot2,43,0.10,47,Success
Bot3,43,0.10,47,Success
Bot4,43,0.10,47,Success
Bot1,44,0.10,35,Success
Bot2,44,0.10,35,Success
Bot3,44,0.10,35,Success
Bot4,44,0.10,35,Success
Bot1,45,0.10,16,Success
Bot2,45,0.10,16,Success
Bot3,45,0.10,16,Success
Bot4,45,0.10,16,Success
Bot1,46,0.10,39,Success
Bot2,46,0.10,39,Success
Bot3,46,0.10,39,Success
Bot4,46,0.10,39,Success
Bot1,47,0.10,44,Bot got caught in fire
Bot2,47,0.10,45,Bot got caught in fire along path
